episode,reward,steps,epsilon,portfolio_value,n_trades,win_rate,avg_pnl,max_drawdown,timestamp
1,-1713.5397508916521,500,0.995,821.4588571999069,81,39.50617283950617,-2.110702503436527,0.05210053926186417,1765396059.4420996
2,-574.7079462926415,500,0.990025,979.6441665873207,76,53.94736842105263,-0.1659102319313469,0.051801254516307134,1765396059.6370602
3,-2673.2172864055374,500,0.985074875,665.2471076784451,84,41.66666666666667,-3.909204080893607,0.08620892225416593,1765396059.8284955
4,-1174.065854804943,500,0.9801495006250001,902.6989962990315,80,52.5,-1.1154462633934341,0.08300258110282918,1765396060.0232873
5,-190.461491383752,500,0.9752487531218751,1059.2839334794253,80,50.0,0.8396450466093723,0.04576907896078997,1765396060.2279158
6,-34.12681947509488,500,0.9703725093562657,1054.9207574000875,83,48.19277108433735,0.7688219381786614,0.07910638893819405,1765396060.4390357
7,-957.3807072427256,500,0.9655206468094844,920.068972129014,83,48.19277108433735,-0.8634182452916767,0.07431722339301366,1765396060.6553712
8,91.2721457028662,500,0.960693043575437,1128.9500302998113,80,48.75,1.7154006490794962,0.040284307776905774,1765396060.847873
9,-465.62591949954117,500,0.9558895783575597,1010.17353261242,83,50.602409638554214,0.23286238788461677,0.05712491714757423,1765396061.0838766
10,-1899.9719399178807,500,0.9511101304657719,800.3441702002483,88,42.04545454545455,-2.1552227367062824,0.07285996227660153,1765396061.2920585
11,-599.6342511741894,500,0.946354579813443,947.0596781615003,86,50.0,-0.5185615470262582,0.050507400280267276,1765396060.4375453
12,-1127.3709088538294,500,0.9416228069143757,914.608472127062,96,43.75,-0.8008400520640219,0.0470819925617452,1765396060.6442378
13,-1510.7674525718328,500,0.9369146928798039,834.681166595459,74,43.24324324324324,-2.1025006392187824,0.058777403608967355,1765396060.8447952
14,-539.3518005249849,500,0.9322301194154049,1016.5845629116741,86,50.0,0.29582529679534686,0.05237177098964992,1765396061.044032
15,-2232.0088340005645,500,0.9275689688183278,712.873580770063,88,43.18181818181818,-3.179406621548109,0.07267353893597978,1765396061.2550366
16,-493.07620658874174,500,0.9229311239742362,975.814185011573,79,48.10126582278481,-0.20906375260754834,0.057957579793009896,1765396061.475176
17,394.5902690556427,500,0.918316468354365,1178.4593095194125,86,52.32558139534884,2.179058545449377,0.03681241942025312,1765396061.6684954
18,-2768.2787984437055,500,0.9137248860125932,688.477755399194,84,48.80952380952381,-3.615032700299432,0.058689126114126224,1765396061.8822694
19,-1828.5943471149444,500,0.9091562615825302,809.3996776174945,85,48.23529411764706,-2.1568641798263806,0.07431722339301368,1765396062.0871682
20,-602.1775677375414,500,0.9046104802746175,969.3775259287439,92,57.608695652173914,-0.2283426915160131,0.05548826533980038,1765396062.2923882
21,-143.60730171008137,500,0.9000874278732445,1059.027291429226,76,63.1578947368421,0.8310437837808993,0.04187217868150755,1765396062.5077212
22,-2916.2296332759192,500,0.8955869907338783,661.279885374402,85,48.23529411764706,-3.8984772054916372,0.07380044879758436,1765396062.7057524
23,-993.9569966125096,500,0.8911090557802088,947.203430391435,80,48.75,-0.5538659458654266,0.08300258110282918,1765396062.9031422
24,-2245.0183706317757,500,0.8866535105013078,743.4813795271573,82,45.1219512195122,-3.0397090251027974,0.09646199231847605,1765396063.103513
25,-1727.8560184847636,500,0.8822202429488013,861.9488730652276,79,46.835443037974684,-1.4771110530346452,0.08028621348240583,1765396063.3097541
26,-1490.574486942972,500,0.8778091417340573,837.7938822441878,86,50.0,-1.7943563669857985,0.07561889773096792,1765396063.5077014
27,-2218.805392082574,500,0.8734200960253871,724.4565943104668,86,51.162790697674424,-3.1156193417641957,0.0756188977309678,1765396063.7175553
28,-561.5122648626103,500,0.8690529955452602,1014.0222577856525,82,47.5609756097561,0.2725129492671465,0.05055852070019857,1765396063.947433
29,-1047.5630950984473,500,0.8647077305675338,903.5338787201605,89,50.56179775280899,-1.0456359869052747,0.07380044879758435,1765396064.1751199
30,-103.91983625008618,500,0.8603841919146962,1124.1960628462848,80,52.5,1.6507232879563773,0.05060393275213342,1765396064.397834
31,-935.3858873295528,500,0.8560822709551227,921.7630421374815,91,48.35164835164835,-0.7741760017480902,0.043324834501886775,1765396064.6102774
32,-533.6547233965338,500,0.851801859600347,987.2713981030681,79,46.835443037974684,-0.05783016629532415,0.037868419208441625,1765396064.8317752
33,-53.45596732475022,500,0.8475428503023453,1101.740479801768,88,54.54545454545454,1.2574211857493791,0.05334456709500448,1765396065.0793972
34,-2298.1273059155205,500,0.8433051360508336,689.0846545442907,98,41.83673469387755,-3.0584629514693353,0.071546496171432,1765396065.3138466
35,-1960.4047436097333,500,0.8390886103705794,770.8181314919373,86,50.0,-2.570456972973054,0.08639328762893549,1765396065.5558178
36,-1702.7070561765038,500,0.8348931673187264,808.1358929748712,84,40.476190476190474,-2.1354759440279545,0.05527693216542208,1765396065.7835543
37,-1696.199543481425,500,0.8307187014821328,807.5682463848743,86,50.0,-2.134950800221525,0.07154649617143215,1765396066.0124059
38,-165.78579637013627,500,0.8265651079747222,1051.2864314159235,88,53.40909090909091,0.691151028501415,0.0830025811028292,1765396066.2162902
39,526.9403201450244,500,0.8224322824348486,1262.5854623814303,83,55.42168674698795,3.281193968541772,0.048850270388416585,1765396066.4439347
40,-167.05617465785076,500,0.8183201210226743,1107.79698684148,80,56.25,1.4502308110357656,0.05563667103980793,1765396066.653206
41,-2416.7096983075803,500,0.8142285204175609,738.8161987519096,74,45.94594594594595,-3.444378525278664,0.07430676420186734,1765396066.8736756
42,-533.0074147780217,500,0.810157377815473,961.1800879942787,85,49.411764705882355,-0.33234873730300035,0.05180125451630731,1765396067.07666
43,-656.1887828884038,500,0.8061065909263957,992.0407349411129,88,54.54545454545454,0.010793491452832139,0.050059339342054476,1765396067.2853134
44,-675.0601653275563,500,0.8020760579717637,955.1808781306513,86,43.02325581395349,-0.4259727052334324,0.04841923158270002,1765396067.5073986
45,-712.086166726744,500,0.798065677681905,992.8098022335962,81,43.20987654320987,0.007076505713620922,0.052648202076766425,1765396067.7178898
46,-1885.6573775431757,500,0.7940753492934954,806.4979164516957,86,52.32558139534884,-2.159880053126836,0.07561889773096789,1765396067.932447
47,-521.585822228827,500,0.7901049725470279,1042.9497943165773,76,47.368421052631575,0.6650876757698793,0.061970516404785014,1765396068.1377683
48,-2842.8842921190144,500,0.7861544476842928,639.843322252058,85,45.88235294117647,-4.16154121533934,0.07910638893819395,1765396068.3438199
49,-1594.9467074287884,500,0.7822236754458713,790.8845811273767,91,40.65934065934066,-2.201741750005066,0.07516915932348796,1765396068.5439944
50,-2226.6414787178383,500,0.778312557068642,760.078010620291,83,40.963855421686745,-2.8059224519318597,0.07221686053902843,1765396068.7675087
51,-860.3083597885981,500,0.7744209942832988,985.6798540046132,71,50.70422535211267,0.2876005099002509,0.05877740360896729,1765396068.9719718
52,-1849.6596596980412,500,0.7705488893118823,777.1136404525879,87,47.12643678160919,-2.4701963555699264,0.07910638893819408,1765396069.17535
53,-388.4717085168325,500,0.7666961448653229,1021.2916711660907,76,52.63157894736842,0.37701633138141044,0.06602021528234649,1765396069.3745544
54,78.23525515360764,500,0.7628626641409962,1118.6101862567493,82,46.34146341463415,1.5507691469167089,0.039108678721245994,1765396069.5797453
55,-1938.9062405610382,500,0.7590483508202912,779.1171010489811,79,46.835443037974684,-2.7038703535888886,0.0743172233930136,1765396069.7956667
56,-93.69504631151877,500,0.7552531090661897,1104.8757132163664,86,45.348837209302324,1.324178658030457,0.05576222033550213,1765396069.9986343
57,-427.5600234738372,500,0.7514768435208588,1013.6143556484307,80,55.00000000000001,0.21073157652118618,0.07285996227660146,1765396070.2250357
58,-1734.4023241911163,500,0.7477194593032545,819.4181984300604,70,41.42857142857143,-2.4840440585001278,0.04708199256174519,1765396070.4444976
59,-1552.313928576862,500,0.7439808620067382,836.8024976406562,90,42.22222222222222,-1.7270233292904598,0.06602021528234651,1765396070.667493
60,254.83756867587175,500,0.7402609576967045,1145.246750919021,93,54.83870967741935,1.6649899781595188,0.052648202076766445,1765396070.8899755
61,-2651.6804205328017,500,0.736559652908221,691.7334233369585,85,43.529411764705884,-3.5422379238449415,0.07561889773096797,1765396071.1240647
62,251.680897942766,500,0.7328768546436799,1150.5290525680643,76,47.368421052631575,2.087162371463138,0.046897168861165135,1765396071.3676314
63,-1025.38666044138,500,0.7292124703704616,889.9709920173734,93,44.086021505376344,-1.0995205006049944,0.07561889773096789,1765396071.5773084
64,-2087.9985448474436,500,0.7255664080186093,762.3837101261125,86,43.02325581395349,-2.4950712578410728,0.07703079044689355,1765396071.7919233
65,-55.20869895833183,500,0.7219385759785162,1093.2876360683754,86,53.48837209302325,1.1930206265448904,0.05868912611412628,1765396072.0054998
66,-299.9527991346874,500,0.7183288830986236,1008.651846316233,93,47.31182795698925,0.2559757927318191,0.03555524648921503,1765396072.2232437
67,-490.1525848166355,500,0.7147372386831305,1013.6302741266927,77,50.649350649350644,0.08631707466026732,0.07561889773096789,1765396072.4349635
68,-889.9328307186402,500,0.7111635524897149,927.5580632170464,92,45.65217391304348,-0.7447417145587447,0.05997568981889727,1765396072.6380339
69,-2227.530356454945,500,0.7076077347272662,719.6293115011572,83,39.75903614457831,-3.2901854670935187,0.04117395308691085,1765396072.8488169
70,-984.4472881249338,500,0.7040696960536299,885.456019092161,83,43.373493975903614,-1.2934439837794702,0.05345178386057581,1765396073.059335
71,-1224.0595685010928,500,0.7005493475733617,945.0300713509027,76,48.68421052631579,-0.6201282244609686,0.07431722339301366,1765396073.284777
72,-632.7231438780034,500,0.697046600835495,950.3470500616622,90,46.666666666666664,-0.45553443978530883,0.05349911340667656,1765396073.4931324
73,-1066.298204681372,500,0.6935613678313175,888.5727444360922,79,46.835443037974684,-1.3225785003177293,0.050976988266914824,1765396073.770047
74,-273.7280206395111,500,0.6900935609921609,1061.7281003476428,77,50.649350649350644,0.9066411627561325,0.05765607991630296,1765396074.017692
75,-723.2393318222885,500,0.6866430931872001,947.4488736441508,84,47.61904761904761,-0.5313649325578575,0.04821865285628511,1765396074.2351575
76,-1672.8340666576516,500,0.6832098777212641,821.4638492947688,82,56.09756097560976,-2.0847388063067256,0.09646199231847612,1765396074.4603891
77,-1117.7925504162008,500,0.6797938283326578,901.1719040232875,82,46.34146341463415,-1.114693177345799,0.07022490780903465,1765396074.6940641
78,1158.1530916191855,500,0.6763948591909945,1391.938430255382,78,56.41025641025641,5.065538910423725,0.02853255956725869,1765396074.9164364
79,141.0721678627965,500,0.6730128848950395,1129.8145692919857,84,47.61904761904761,1.6451678872671454,0.04821865285628502,1765396075.1247594
80,-547.4475614851327,500,0.6696478204705644,1022.2608126122108,78,50.0,0.7836350270453222,0.07431722339301362,1765396075.3376844
81,-337.4491778350284,500,0.6662995813682115,1039.758634333848,81,51.85185185185185,0.5828942000704911,0.051928330083127014,1765396075.559943
82,293.8318814595002,500,0.6629680834613705,1191.5779474351739,74,51.35135135135135,2.696091421043117,0.043324834501886775,1765396075.786509
83,-1023.7774060902219,500,0.6596532430440636,942.0800267792306,83,46.98795180722892,-0.6020060938516909,0.050704519827625465,1765396075.999571
84,-2402.4200178835977,500,0.6563549768288433,715.3288384476114,90,47.77777777777778,-3.077818326959298,0.07431722339301358,1765396076.2123609
85,-639.3526934252133,500,0.653073201944699,1008.3137973602039,84,48.80952380952381,0.20131692380875024,0.06205408298693066,1765396076.4213839
86,-3325.2939232292506,500,0.6498078359349755,615.8793891746886,88,39.77272727272727,-4.28706721597168,0.07411098834550311,1765396076.6402407
