Агент,Доходность %,Конечный баланс,Сделок,Win Rate %,Средний PnL,Max Drawdown сделок %,Max Drawdown портфеля %,Sharpe Ratio,Ср. время удержания,Закрыто по просадке,Закрыто по времени
Q-Learning,-43.186208626151654,568.1379137384835,128,39.84375,-3.295034218589556,8.011448669427864,59.71963790055046,-0.266734387848699,36.9765625,31,0
SARSA,-22.742555226502002,772.5744477349799,91,42.857142857142854,-2.396367353652266,10.055609985581434,65.65282771225883,-0.12426925043834586,65.20879120879121,45,0
SARSA-λ,0.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Monte Carlo,-77.59258801285146,224.07411987148535,1263,46.318289786223275,-0.5694746909136293,8.011448669427867,43.85815516499916,-0.351002148408915,3.782264449722882,3,0
