Агент,Доходность %,Конечный баланс,Сделок,Win Rate %,Средний PnL,Max Drawdown сделок %,Max Drawdown портфеля %,Sharpe Ratio,Ср. время удержания,Закрыто по просадке,Закрыто по времени
Q-Learning (Base),-48.10529483564573,518.9470516435427,768,82.94270833333334,-0.5545946109841728,12.96929029539354,68.22954991106513,-0.07179175443022232,10.33984375,129,0
Q-Learning (FT),-65.87778834575171,341.2221165424829,1155,49.26406926406926,-0.4997155091858287,10.09130200942484,73.35542767837023,-0.28496332791300877,3.142857142857143,61,0
