episode,reward,steps,epsilon,portfolio_value,n_trades,win_rate,avg_pnl,max_drawdown,timestamp
1,-2238.541164649624,2000,0.995,898.8435140498606,328,40.853658536585364,-0.21848644958134916,0.04245473718390432,1765399919.3992147
2,-3147.8849724305746,2000,0.990025,684.4108146102194,335,42.98507462686567,-0.844964067834321,0.06286361455841685,1765399920.651204
3,-4173.9589766240615,2000,0.985074875,581.3379055748161,369,42.81842818428184,-1.047553287563349,0.046935387616065256,1765399921.8912184
4,-5567.51603120282,2000,0.9801495006250001,488.1369949462008,344,45.348837209302324,-1.4240786252278623,0.07167347756344211,1765399923.1787734
5,-2348.488814099446,2000,0.9752487531218751,943.3002045245744,320,51.87500000000001,-0.07887636899731679,0.07146827499865836,1765399924.3912454
6,-1814.4949755018702,2000,0.9703725093562657,948.2394906820862,324,49.074074074074076,-0.09931923358497621,0.06823004913959434,1765399925.6304345
7,-3397.5935419924026,2000,0.9655206468094844,731.1499145108862,315,46.98412698412698,-0.7616622745269432,0.052979532012781945,1765399926.8997102
8,-2934.331459051487,2000,0.960693043575437,806.7638793611183,350,50.0,-0.43952560981285826,0.06241741250557222,1765399928.1487074
9,-7155.879439367326,2000,0.9558895783575597,402.40089370868617,331,44.71299093655589,-1.7420837719287725,0.07408446053660199,1765399929.4319365
10,-3571.0895435012726,2000,0.9511101304657719,745.4634769433852,331,44.71299093655589,-0.6838121609261559,0.07171261992439401,1765399930.6825228
11,-5087.927734575377,2000,0.946354579813443,566.206112005623,352,47.44318181818182,-1.1583230286727655,0.07380044879758427,1765399931.9787257
12,-2874.6607127023744,2000,0.9416228069143757,700.8404243911529,347,49.279538904899134,-0.7753863331640404,0.06404587127146291,1765399933.2676144
13,-3997.337220721954,2000,0.9369146928798039,623.008516983765,331,45.31722054380665,-1.0588777184180918,0.06823004913959427,1765399934.5354474
14,-3820.9527991999303,2000,0.9322301194154049,651.6882778855322,337,44.80712166172107,-0.9389755794158571,0.06491445907118491,1765399935.8142185
15,-5794.1472930745,2000,0.9275689688183278,455.84482304305794,329,42.857142857142854,-1.5782294544710131,0.08011448669427881,1765399937.073532
16,-4842.865458957751,2000,0.9229311239742362,559.5121434583652,324,46.60493827160494,-1.2824798367240409,0.07267353893597983,1765399938.3557618
17,-4316.6196633569725,2000,0.918316468354365,634.1472039998049,329,44.984802431610944,-1.0453019055932677,0.05802928764791553,1765399939.6425114
18,-3839.0129273276084,2000,0.9137248860125932,664.8754321014518,330,41.81818181818181,-0.9391523413763229,0.07481796292138754,1765399940.927354
