episode,mean_reward,std_reward,min_reward,max_reward,mean_length,timestamp
500,1764939760.844898,330.89952244525085,5.684341886080802e-14,330.8995224452508,330.8995224452508,1000.0
1000,1764939838.6650858,799.1461154372527,0.0,799.1461154372527,799.1461154372527,1000.0
1500,1764939919.676421,538.5017889279335,0.0,538.5017889279335,538.5017889279335,1000.0
2000,1764940000.9494157,799.1461154372527,0.0,799.1461154372527,799.1461154372527,1000.0
2500,1764940079.3271499,580.581269543614,1.1368683772161603e-13,580.5812695436139,580.5812695436139,1000.0
3000,1764940157.36024,580.581269543614,1.1368683772161603e-13,580.5812695436139,580.5812695436139,1000.0
3500,1764940235.6300185,799.1461154372527,0.0,799.1461154372527,799.1461154372527,1000.0
4000,1764940312.7339525,799.1461154372527,0.0,799.1461154372527,799.1461154372527,1000.0
4500,1764940389.0293026,799.1461154372527,0.0,799.1461154372527,799.1461154372527,1000.0
5000,1764940466.0749218,9.178381480967278,0.0,9.178381480967278,9.178381480967278,1000.0
500,1764941616.7153747,916.8526408171722,1.1368683772161603e-13,916.8526408171721,916.8526408171721,1000.0
1000,1764941698.314235,785.4182967714827,1.1368683772161603e-13,785.4182967714828,785.4182967714828,1000.0
500,1764947869.4722142,424.8688424540825,5.684341886080802e-14,424.8688424540824,424.8688424540824,1000.0
1000,1764947950.212661,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
1500,1764948031.3696907,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
2000,1764948111.316504,325.1857277494444,5.684341886080802e-14,325.18572774944437,325.18572774944437,1000.0
2500,1764948192.180345,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
3000,1764948272.4867308,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
3500,1764948352.1034625,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
4000,1764948432.2060556,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
4500,1764948514.3242576,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
5000,1764948595.498028,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
5500,1764948675.9934773,675.0495137543388,1.1368683772161603e-13,675.0495137543389,675.0495137543389,1000.0
6000,1764948755.849348,820.296947848349,1.1368683772161603e-13,820.2969478483491,820.2969478483491,1000.0
6500,1764948835.7726612,675.0495137543388,1.1368683772161603e-13,675.0495137543389,675.0495137543389,1000.0
7000,1764948915.5485182,916.8526408171722,1.1368683772161603e-13,916.8526408171721,916.8526408171721,1000.0
7500,1764948995.7766645,1051.9937584930053,2.2737367544323206e-13,1051.9937584930055,1051.9937584930055,1000.0
8000,1764949076.572697,548.9796891926134,0.0,548.9796891926134,548.9796891926134,1000.0
8500,1764949158.129759,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
9000,1764949247.5606277,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
9500,1764949337.015185,820.296947848349,1.1368683772161603e-13,820.2969478483491,820.2969478483491,1000.0
10000,1764949425.2550368,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
10500,1764949514.4905562,627.8882921280083,0.0,627.8882921280083,627.8882921280083,1000.0
11000,1764949602.874406,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
11500,1764949690.476569,927.8172282168396,0.0,927.8172282168396,927.8172282168396,1000.0
12000,1764949778.4375,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
12500,1764949865.888248,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
13000,1764949953.6128743,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
13500,1764950036.7430506,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
14000,1764950117.8480434,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
14500,1764950198.935873,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
15000,1764950279.7843423,9.178381480967278,0.0,9.178381480967278,9.178381480967278,1000.0
15500,1764950359.629561,675.0495137543388,1.1368683772161603e-13,675.0495137543389,675.0495137543389,1000.0
16000,1764950439.6999316,894.4096855584291,1.1368683772161603e-13,894.4096855584293,894.4096855584293,1000.0
16500,1764950518.9697144,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
17000,1764950598.6749911,1045.6661338290578,0.0,1045.6661338290578,1045.6661338290578,1000.0
17500,1764950678.289263,814.583609657713,0.0,814.583609657713,814.583609657713,1000.0
18000,1764950759.1528044,663.4263040821188,0.0,663.4263040821188,663.4263040821188,1000.0
18500,1764950838.550033,424.8688424540825,5.684341886080802e-14,424.8688424540824,424.8688424540824,1000.0
19000,1764950918.3071573,814.583609657713,0.0,814.583609657713,814.583609657713,1000.0
19500,1764950998.069949,1062.9583458926759,2.2737367544323206e-13,1062.958345892676,1062.958345892676,1000.0
20000,1764951077.6833742,9.178381480967278,0.0,9.178381480967278,9.178381480967278,1000.0
