episode,mean_reward,std_reward,min_reward,max_reward,mean_portfolio,mean_trades,timestamp
100,507.74419550353224,103.73262737939191,365.6997929050475,610.5189989383058,627.0579297506846,63.0,1765710858.9602935
100,507.74419550353224,103.73262737939191,365.6997929050475,610.5189989383058,627.0579297506846,63.0,1765711163.4059293
100,507.74419550353224,103.73262737939191,365.6997929050475,610.5189989383058,627.0579297506846,63.0,1765711219.2146287
100,507.74419550353224,103.73262737939191,365.6997929050475,610.5189989383058,627.0579297506846,63.0,1765711546.6852627
200,568.4447989533996,90.21642843211953,444.8851377154786,657.7612147754905,493.4848208090443,214.33333333333334,1765711565.26965
300,363.43733494397526,33.63819983271659,334.83466690342004,410.65839356364785,776.265890174328,345.6666666666667,1765711583.927082
400,77.51027220184689,49.58730739668077,36.38298070267343,147.2649842413188,613.8691771960424,328.0,1765711602.9035017
500,938.445131801242,63.4127461309753,857.8021248623211,1012.7415323521382,448.52935206153575,295.0,1765711622.402908
600,439.1298773446806,130.12638853115357,255.13251484936725,533.9646534985901,496.4701431806198,483.0,1765711642.8736823
700,534.0583197842852,108.73877101040213,380.7664055904868,621.3048553267159,573.5788021538434,397.0,1765711662.695401
800,1020.3150065690643,97.88568632204307,934.8130930275671,1157.3499941491862,382.9825014413186,251.66666666666666,1765711682.7452095
900,536.6185695846766,118.34453525839108,378.05740324431105,662.2878467963394,532.2338831725159,370.0,1765711702.9118464
1000,372.4174597400804,131.54116279099912,210.07525626544427,532.2547739886289,666.9264659992064,178.66666666666666,1765711723.1604784
1100,390.1021685758299,57.77267021199564,308.52710155788634,434.84614820468204,455.88083973278475,322.0,1765711743.057476
1200,1067.6039694065378,64.85263116252814,985.5165234424275,1144.0741523355214,509.9898205154714,137.66666666666666,1765711763.1061065
1300,1503.228145203083,274.50734927162495,1115.4003277704066,1712.0958235196229,591.4246455122479,227.33333333333334,1765711782.8524058
1400,968.7210892328426,157.18881330137657,856.6426911045513,1191.0170446871864,440.6520651008785,349.3333333333333,1765711802.8685286
1500,1394.1603546436418,207.29972302829052,1162.3926710882556,1665.5194947678463,477.6121800917883,342.0,1765711822.7792072
1600,466.26866123422997,41.442948570632915,407.761386233708,498.5141306736476,497.0567829918729,550.3333333333334,1765711842.5375366
1700,1104.9601528469732,117.78139180421987,956.7494894649992,1244.8977245721192,593.9650131251782,87.66666666666667,1765711862.292407
1800,787.1175808679121,72.1579886997974,709.9548079448832,883.5314223691527,368.4298605745433,71.66666666666667,1765711882.1734586
1900,951.2710679599528,265.0171900501977,591.9363812871824,1223.1886348651203,634.1864987713421,159.0,1765711901.9105546
2000,1222.1501625321916,291.83295400518057,812.3628345083844,1469.534636237677,497.34206072024267,266.0,1765711922.0005856
2100,427.7408960205874,174.30872729742882,272.8631750591537,671.2669844281329,671.2671274588389,494.6666666666667,1765711941.7354558
2200,689.6271040902092,266.9315951395983,490.45050931541033,1066.9296931445883,710.6433795002977,130.66666666666666,1765711961.6814811
2300,109.0348788230255,33.77746285176048,84.05082479601036,156.78627733312217,660.2384056192915,310.3333333333333,1765711981.6645768
2400,301.75086665602754,51.156831083459316,237.37904017799775,362.5328113795719,643.7119896253589,281.3333333333333,1765712001.434361
2500,481.48187356716085,147.39376283305734,316.5998342215523,674.366620128622,823.9207762917036,227.0,1765712023.3178313
2600,797.827967530462,128.64406753793438,645.2690921497936,959.946127986202,547.8174254554801,344.0,1765712043.955781
2700,125.58179383025488,22.764985914107648,96.57443509968019,152.18079171599027,860.60147256315,176.66666666666666,1765712064.4989572
2800,907.4690239939333,55.06306962929791,843.3837371503606,977.8224943858351,748.8701091999777,197.66666666666666,1765712084.817362
2900,282.51655402620463,18.05618876111687,258.19829926040296,301.4214795623856,559.4688892422963,425.6666666666667,1765712104.946663
3000,492.63295300970657,120.33326470644323,360.1410609011196,651.3697947590971,573.4769975182747,150.66666666666666,1765712124.8172405
