episode,reward,steps,epsilon,portfolio_value,n_trades,win_rate,avg_pnl,max_drawdown,timestamp
1,-189.95886357582157,1000,0.995,922.0810169689973,169,34.9112426035503,-0.36015986226983904,0.024399509555579117,1764443879.7592978
2,-119.41776003180355,1000,0.990025,980.5314148467747,169,37.278106508875744,-0.013338687185418746,0.023073961538592064,1764443880.0481052
3,-156.0390922310267,1000,0.985074875,944.993852462217,163,40.49079754601227,-0.2336487016974523,0.033671185593314654,1764443880.318948
4,-160.3364512640174,1000,0.9801495006250001,949.7206274180522,168,36.30952380952381,-0.24421423328804726,0.02358262066405197,1764443880.5472937
5,-151.53920646883597,1000,0.9752487531218751,935.9021059550926,177,41.80790960451977,-0.26029354799294424,0.02164281533123533,1764443880.8458428
6,-153.9300397602963,1000,0.9703725093562657,949.4564948474087,172,41.86046511627907,-0.19019707901377608,0.025816772089056108,1764443881.1519437
7,-216.1594747137172,1000,0.9655206468094844,890.559437024473,173,36.99421965317919,-0.5341031284896388,0.019664350229783332,1764443881.3901637
8,-150.1042574313158,1000,0.960693043575437,943.698119157859,163,46.62576687116564,-0.2388407420214472,0.030702513947112445,1764443881.6603947
9,-172.48362613045765,1000,0.9558895783575597,930.5228790449061,166,35.54216867469879,-0.3188236014824639,0.02847553019131407,1764443882.0059443
10,-198.64177091550525,1000,0.9511101304657719,887.8321337966178,174,36.206896551724135,-0.5923573542771334,0.019360497292419857,1764443882.2231722
11,-209.52017497362408,1000,0.946354579813443,899.7557460275199,157,43.31210191082803,-0.5444378687098498,0.028475530191314075,1764443882.444278
12,-142.31512311990355,1000,0.9416228069143757,975.9987914080544,168,44.642857142857146,-0.03648721921557432,0.029637007792498248,1764443882.6683195
13,-58.34119477232561,1000,0.9369146928798039,1048.445339237328,160,39.375,0.4087444198916755,0.019502248988981726,1764443882.9753454
14,-228.0240765192189,1000,0.9322301194154049,864.3210810658493,159,32.075471698113205,-0.7564096055039244,0.027761853739623428,1764443883.2038884
