episode,mean_reward,std_reward,min_reward,max_reward,mean_length,timestamp
100,1764443915.6635242,-3.727151728556214,4.440892098500626e-16,-3.7271517285562137,-3.7271517285562137,100.0
200,1764443918.056963,1.121049226351897,2.220446049250313e-16,1.1210492263518972,1.1210492263518972,100.0
100,1764444424.4455504,-8.662006048686635,0.0,-8.662006048686635,-8.662006048686635,50.0
200,1764444427.5996976,-12.081026144721223,0.0,-12.081026144721223,-12.081026144721223,50.0
300,1764444430.8494473,-12.081026144721223,0.0,-12.081026144721223,-12.081026144721223,50.0
400,1764444434.0769854,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
500,1764444437.5611532,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
600,1764444440.0699542,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
700,1764444442.6299937,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
800,1764444445.6115403,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
900,1764444448.9714568,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1000,1764444452.2586465,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1100,1764444453.1244838,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1200,1764444456.3829923,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1300,1764444459.7798464,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1400,1764444463.0241375,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1500,1764444466.2896538,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1600,1764444469.7076757,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1700,1764444473.231688,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1800,1764444476.94399,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
1900,1764444480.5491154,5.1423015137216685,0.0,5.1423015137216685,5.1423015137216685,50.0
2000,1764444481.765183,-4.60866546447626,0.0,-4.60866546447626,-4.60866546447626,50.0
