episode,reward,steps,epsilon,portfolio_value,n_trades,win_rate,avg_pnl,max_drawdown,timestamp
5001,85.82020438959661,2000,0.01,1274.4312817880561,11,63.63636363636363,28.42881782201989,0.057135086733422324,1765647551.108024
5002,112.14089275067109,2000,0.01,1494.0895167701121,17,52.94117647058824,28.584864121898505,0.06951322954273824,1765647551.7615747
5003,58.84248817915769,2000,0.01,1139.0809731346176,23,34.78260869565217,6.330897650526973,0.07725470906212518,1765647552.3856564
5004,110.825961075232,2000,0.01,478.09210764774645,25,28.000000000000004,-20.800942839256976,0.0834300625120205,1765647552.9711585
5005,72.0977403456207,2000,0.01,576.9774496962343,23,17.391304347826086,-22.085112188259643,0.10497972320751182,1765647553.644621
5006,37.24292749641395,2000,0.01,550.2529507832458,90,51.11111111111111,-5.011301321680425,0.08343006251202062,1765647554.2528973
5007,110.01849427169708,2000,0.01,490.9229420108061,17,11.76470588235294,-29.877591658500037,0.08343006251202047,1765647554.8285818
5008,145.01976272079,2000,0.01,1565.2809208782667,12,50.0,40.015282642236365,0.07737594847093515,1765647555.4000769
5009,93.4656176352173,2000,0.01,493.3263751817001,21,14.285714285714285,-26.474394375713604,0.10476893816211212,1765647555.9650562
5010,123.28227605741237,2000,0.01,1091.545994632628,10,40.0,6.000119400662223,0.06001294738460673,1765647556.5245988
5011,63.94520875358519,2000,0.01,560.9778632563404,25,24.0,-17.240757679294173,0.10497972320751174,1765647557.1061583
5012,49.90519789460013,2000,0.01,1100.9815715670861,70,52.85714285714286,-0.10970374580427712,0.07725470906212516,1765647557.708424
5013,96.78192516459076,2000,0.01,1054.2764418722863,21,38.095238095238095,3.9138887796227677,0.061696295168858696,1765647558.303653
5014,116.54031022401756,2000,0.01,2051.796439334656,13,46.15384615384615,68.73308194933024,0.06946508337535218,1765647558.8751693
5015,95.6293695337874,2000,0.01,1072.354633775062,13,46.15384615384615,5.664148094355019,0.06216365780287287,1765647559.4503417
5016,106.25899056047146,2000,0.01,1859.1140885571506,10,60.0,67.28418552808759,0.05713508673342235,1765647560.0201998
5017,112.49429219715859,2000,0.01,1481.9869111969576,17,52.94117647058824,31.37692368088297,0.09600549303970274,1765647560.6547775
5018,50.90257776110821,2000,0.01,1183.0176478022115,18,38.88888888888889,8.499585875247755,0.06228780485710502,1765647561.2473996
