episode,mean_reward,std_reward,min_reward,max_reward,mean_portfolio,mean_trades,timestamp
100,469.2012788412542,61.47322091517796,382.49376853172976,518.0131542284958,507.9179674360333,69.66666666666667,1765712146.8293507
200,447.2736021061898,88.80446402635562,322.9652349203633,524.9171895678045,662.2442132313878,179.0,1765712165.9322314
300,569.2214979480273,199.5081225053862,294.8037981849329,763.2320287992908,561.4991501096214,391.0,1765712185.6561267
400,294.6767688221725,31.8520856005615,265.9350418837329,339.08540659484856,556.4603786000733,488.6666666666667,1765712205.8336773
500,378.32716441687734,62.21966272855765,299.49890686733005,451.60143205521564,497.06563313964654,318.6666666666667,1765712225.8704648
600,168.96166351490942,32.88132026262548,143.55775767088633,215.39421099469632,665.0700235732262,342.0,1765712246.0578604
700,329.94595596202316,87.25755887940186,207.00180485320882,400.60357197348543,656.7973763739288,401.3333333333333,1765712266.2375102
800,273.88315957595074,109.14454035860429,195.46044539375458,428.2301082986537,713.0619694017381,297.3333333333333,1765712286.4641426
900,504.3953541289778,33.32997070211281,473.15317658351523,550.58235818604,571.343444421724,363.6666666666667,1765712307.2545083
1000,230.59680296205693,20.865449551019054,210.56157135301254,259.3758845469531,656.3400899185575,226.33333333333334,1765712327.7249753
1100,677.7391606068433,134.41802971444116,535.2734504551283,857.9672042998789,522.0118694191495,357.3333333333333,1765712348.1503582
1200,86.76632606052613,2.867926888198289,82.7353826846537,89.1705503426129,890.6280149826374,175.66666666666666,1765712368.347754
1300,585.3409523511586,84.93628332791236,495.31987628493,699.2239285308045,589.6642624006835,339.6666666666667,1765712388.7869802
1400,495.8383209157637,93.8072044764017,402.32101151953526,624.0866807917943,600.1405470362289,102.66666666666667,1765712409.1897645
1500,492.0960297171069,116.934214573465,349.4334788261765,635.8563272244448,400.99114662136367,292.3333333333333,1765712429.9585109
1600,300.87460903601703,34.227776379196214,252.90048223276716,330.4449852441816,621.2174750534635,411.0,1765712450.7165735
1700,355.30337224412614,38.19551934380335,326.6335847953449,409.285195391179,682.5301521558753,139.66666666666666,1765712471.2937226
1800,611.6449714174315,111.9177842347593,453.5788530806631,697.7287268271282,625.625739486606,287.3333333333333,1765712491.7281618
1900,129.7878528869514,14.985038615022344,108.6235146386248,141.30819221069493,670.7307237784476,259.3333333333333,1765712512.338263
2000,477.606676349066,106.5148794058114,338.72597840070773,597.5667551848,554.5534368010649,286.0,1765712532.917446
2100,1242.63696146088,221.8584534302351,956.1987992986974,1496.7462787241848,684.8533269271934,228.0,1765712553.5629983
2200,228.24659463378381,60.62090741837017,181.0092024080212,313.82344764405843,686.2015540267652,336.0,1765712574.396895
2300,237.96315046619898,56.677666774492025,170.4900185486697,309.17062805559124,590.0406494618347,526.3333333333334,1765712595.1890001
2400,189.2517445281716,70.372710527262,127.87274229247029,287.78622441264173,643.977340363983,154.66666666666666,1765712616.0104864
2500,305.9544972159226,66.72984889557144,239.01876777799254,397.0332566849074,416.5159683127472,330.3333333333333,1765712636.6429915
2600,463.0962812860833,42.57225997844017,431.64801203847094,523.2822056906114,452.97528689564143,478.3333333333333,1765712657.272476
2700,771.4725461087874,141.8552329915952,608.5956706115089,954.3392997353543,679.7401676361216,195.33333333333334,1765712677.7799308
2800,239.15220988314283,58.549727268386285,178.04354688192464,318.0946011139817,607.8666556997389,382.3333333333333,1765712698.3074722
2900,1013.0720686901094,313.8381041304143,637.0285714896828,1405.262863833166,608.697391714184,390.6666666666667,1765712718.8680408
3000,304.84724930495133,84.35304044205922,206.21931905277881,412.2779218253744,746.9437002198669,476.0,1765712739.4494572
