episode,mean_reward,std_reward,min_reward,max_reward,mean_portfolio,mean_trades,mean_steps,timestamp
100,253.3833435899066,153.95110403370387,110.1021961465176,547.7161366486833,789.8537839960179,67.6,1000.0,1765725944.3464603
200,281.4975631384653,125.82016016395355,146.62602215926609,511.94676697652676,947.010407097451,65.8,1000.0,1765725990.1561027
300,159.35655684726734,90.95770531652212,-9.36437514157552,241.4163644835055,909.8651526492716,64.0,1000.0,1765726036.4571211
400,248.94041463597455,107.19965327368217,123.31531889215509,427.9471472449824,872.2912213696911,153.8,1000.0,1765726080.7322469
500,266.6643284002182,110.17927252718086,62.221888808808075,383.6951263379773,881.7637327799773,54.4,1000.0,1765726125.7351477
600,228.53241254101695,115.09942648267493,-0.15857487655987912,307.21497145807194,866.5911214478747,121.6,1000.0,1765726172.3681138
700,106.98693178780111,68.55776535913344,17.931783731273732,216.75077633580923,921.5322937176937,30.2,1000.0,1765726219.9862356
800,268.62966308711464,62.446528650862064,188.3519044228701,368.55588002276716,950.6641405526327,90.4,1000.0,1765726266.8849661
