episode,reward,steps,epsilon,portfolio_value,n_trades,win_rate,avg_pnl,max_drawdown,total_pnl,timestamp
1,-44.52243732698216,1000,0.9998,874.7610863530125,164,48.170731707317074,-0.6630005294969417,0.05528760901739242,-108.73208683749843,1765817678.6179535
2,-21.180708136242576,1000,0.99960004,984.6955030331126,180,44.44444444444444,0.004290862090158498,0.09487674501886725,0.7723551762285297,1765817678.7839
3,31.46149502914194,1000,0.9994001199920001,1404.975383447224,174,52.29885057471264,2.4410551314685742,0.035632267495269085,424.74359287553193,1765817678.945059
4,-50.6099895644752,1000,0.9992002399680017,827.2896855688856,176,45.45454545454545,-0.9050492672823729,0.05233599965176142,-159.28867104169763,1765817679.1034942
5,-48.852582410317694,1000,0.9990003999200081,828.7742885309368,178,46.62921348314607,-0.867591783984719,0.03501862068891952,-154.43133754928,1765817679.2688308
6,-36.00771825882062,1000,0.9988005998400241,923.4259329925582,165,52.121212121212125,-0.34564709331235277,0.07884399292797019,-57.03177039653821,1765817679.4261084
7,-65.81252679198903,1000,0.9986008397200561,699.3219861127087,175,38.857142857142854,-1.636294726960477,0.0858985255320621,-286.3515772180835,1765817679.586184
8,-11.62365197441368,1000,0.9984011195521121,1129.9142627538788,187,48.663101604278076,0.7909737158628793,0.06686297492463837,147.91208486635844,1765817679.7601175
9,-18.85597383623009,1000,0.9982014393282017,999.4074641611204,165,41.21212121212121,0.08605252310380045,0.08759624231004579,14.198666312127074,1765817679.9336596
10,-5.496536796859257,1000,0.9980017990403361,1061.2754654407088,177,50.847457627118644,0.4531980631488426,0.08436403951785952,80.21605717734514,1765817680.0896862
11,-20.102292316414815,1000,0.9978021986805281,988.8897247043619,166,52.40963855421686,0.11989494781281854,0.06006361753448628,19.902561336927878,1765817680.2439806
12,-71.22582221117804,1000,0.997602638240792,680.043782055979,171,42.10526315789473,-1.7727965428109203,0.05418856002558131,-303.1482088206674,1765817680.4011784
13,-38.76057414502584,1000,0.9974031177131438,893.8776195328348,183,48.63387978142077,-0.47863907150475965,0.053863413411635565,-87.59095008537102,1765817680.561315
14,16.79488629528767,1000,0.9972036370896012,1250.6691851785242,159,50.314465408805034,1.6886953079602647,0.046586995813463615,268.50255396568207,1765817680.7272813
15,-67.899244968293,1000,0.9970041963621834,731.2923615661429,180,48.888888888888886,-1.3999818701808837,0.12732622640383956,-251.99673663255905,1765817680.8853269
16,-75.06451740122851,1000,0.996804795522911,734.5637865680437,167,49.700598802395206,-1.5114708218582196,0.08997832943728967,-252.41562725032267,1765817681.0526679
17,-73.06187338933776,1000,0.9966054345638065,699.6053371437839,161,47.20496894409938,-1.7840983406211361,0.08376001582264046,-287.2398328400029,1765817681.2121449
18,5.936969974346132,1000,0.9964061134768937,1111.1950857853087,153,48.36601307189542,0.827706065864881,0.07144692071752144,126.6390280773268,1765817681.3720279
19,-31.037509083954326,1000,0.9962068322541984,934.9261536992751,172,45.348837209302324,-0.2766611003003684,0.049264039088767704,-47.58570925166336,1765817681.528483
20,-41.43364707526149,1000,0.9960075908877476,934.3628411114685,182,50.54945054945055,-0.21145353482776982,0.06424854414544795,-38.484543338654106,1765817681.6876187
21,8.164091448549302,1000,0.9958083893695701,1145.4765333684165,155,51.61290322580645,1.04566350138834,0.07482058596526357,162.0778427151927,1765817681.8432665
22,-11.891662865181312,1000,0.9956092276916961,1017.0302447288616,160,51.24999999999999,0.19456021014548816,0.034964999458155004,31.129633623278107,1765817682.0111182
23,-30.482603393244126,1000,0.9954101058461579,941.8725268465898,162,43.82716049382716,-0.21101905624431339,0.03721544263925038,-34.18508711157877,1765817682.1888788
24,-47.9389066577556,1000,0.9952110238249886,866.0440857934753,178,52.24719101123596,-0.6584468798451083,0.07110858130402888,-117.20354461242928,1765817682.3509607
25,-36.531566017249624,1000,0.9950119816202236,954.9366584613971,155,49.03225806451613,-0.19023899099862016,0.07865294423719664,-29.487043604786123,1765817682.5086317
26,-84.27193624594548,1000,0.9948129792238997,696.0772214287863,166,50.0,-1.7398892224109197,0.09034356777460927,-288.82161092021266,1765817682.6771834
27,-94.02243171604682,1000,0.9946140166280549,590.7887340015205,163,44.785276073619634,-2.433937065703803,0.13204979680765436,-396.7317417097199,1765817682.8433468
28,-53.76472327854454,1000,0.9944150938247294,768.4011578175978,166,43.373493975903614,-1.3066417070799763,0.10284966355250501,-216.90252337527608,1765817683.0034058
29,-40.46225718213387,1000,0.9942162108059645,894.5084117870159,169,45.562130177514796,-0.5332620563011339,0.05386341341163558,-90.12128751489162,1765817683.169071
30,-43.78566646992744,1000,0.9940173675638033,824.8925149699625,175,44.57142857142857,-0.8823347796486011,0.11002172887036592,-154.40858643850518,1765817683.3378322
31,-10.922987644920086,1000,0.9938185640902906,1039.542415129071,164,51.21951219512195,0.3416390680220392,0.0571513518390306,56.02880715561443,1765817683.5043619
32,-12.485346850959255,1000,0.9936198003774726,1018.6569416403678,175,49.142857142857146,0.21578840858560885,0.06367152705439323,37.76297150248155,1765817683.6704383
33,-13.50583197224472,1000,0.9934210764173971,1028.844122248194,171,49.707602339181285,0.3142638071353621,0.055587899057214944,53.73911102014692,1765817683.8309019
34,-30.022750369506753,1000,0.9932223922021136,950.2928225569547,172,49.41860465116279,-0.19360935800829132,0.03907714232550617,-33.30080957742611,1765817683.99479
35,-87.04288829982978,1000,0.9930237477236732,671.5703256581764,158,54.43037974683544,-1.9935683756655116,0.08063635280044233,-314.9838033551508,1765817684.1548827
36,-13.807000536361254,1000,0.9928251429741285,1012.316714564051,160,48.125,0.21408514511612148,0.0424749827563285,34.253623218579435,1765817684.3130622
37,-37.48924494987398,1000,0.9926265779455337,911.001263131031,166,42.77108433734939,-0.4380004057809057,0.04239233241832354,-72.70806735963035,1765817684.4704156
38,-96.22402471539002,1000,0.9924280526299446,591.6886201409754,171,49.122807017543856,-2.303222538136747,0.09689476020402189,-393.85105402138373,1765817684.6261895
39,4.786735449352824,1000,0.9922295670194187,1146.044895305216,164,54.87804878048781,0.997092969780744,0.043963098965014186,163.52324704404202,1765817684.7907755
40,2.3882280313986506,1000,0.9920311211060148,1077.6369250323849,170,45.88235294117647,0.7231879243417628,0.03347357411438376,122.94194713809968,1765817684.9475765
41,5.9162180461942935,1000,0.9918327148817936,1155.8843654334662,165,53.333333333333336,1.047726284220249,0.06333234361559331,172.8748368963411,1765817685.1116483
42,-38.96311644465618,1000,0.9916343483388173,916.1449103429244,164,46.34146341463415,-0.4107312004588318,0.047861612697136034,-67.35991687524842,1765817685.2865813
43,-36.365926712793474,1000,0.9914360214691496,918.3575282211768,171,50.29239766081871,-0.38568509816005825,0.06090562259069361,-65.95215178536996,1765817685.4453485
44,8.339009840125621,1000,0.9912377342648557,1152.6912569515014,179,48.04469273743017,0.9573309508487748,0.03907714232550619,171.3622402019307,1765817685.6102638
45,-57.96952562615468,1000,0.9910394867180028,797.2069728277585,162,49.382716049382715,-1.1672409140623463,0.12631341804140148,-189.0930280781001,1765817685.7881072
46,-63.03611822904832,1000,0.9908412788206592,777.4108570261131,165,44.24242424242424,-1.2645979631470847,0.07833369082570635,-208.65866391926897,1765817685.972196
47,-31.466673159274514,1000,0.9906431105648951,944.9256032021442,153,48.36601307189542,-0.22188877915479882,0.04256781194644767,-33.94898321068422,1765817686.1448317
48,6.809633614518471,1000,0.9904449819427821,1129.09667489639,163,50.306748466257666,0.927851457471555,0.05340024798077967,151.23978756786346,1765817686.3067663
49,-26.544987386291176,1000,0.9902468929463936,975.2246013420701,165,47.27272727272727,-0.053648043324316844,0.06739882641514672,-8.85192714851228,1765817686.4689548
50,6.429742344365513,1000,0.9900488435678043,1122.5604289827604,150,50.66666666666667,0.9285783171018871,0.04720174513508773,139.28674756528306,1765817686.628483
51,11.910260796612114,1000,0.9898508337990908,1195.4095376923715,161,50.931677018633536,1.2574286443677614,0.03039884977672616,202.44601174320957,1765817686.7946148
52,-55.82898452086005,1000,0.989652863632331,831.9172298994948,160,50.0,-0.9579873322056918,0.10510643938261101,-153.27797315291068,1765817686.9618337
53,-92.6771964980841,1000,0.9894549330596045,622.7618718639528,161,47.82608695652174,-2.237724022792653,0.0814777580609045,-360.27356766961714,1765817687.1195362
54,-44.392134511303055,1000,0.9892570420729926,852.4027748508793,165,43.03030303030303,-0.8016370132931984,0.08589852553206208,-132.27010719337773,1765817687.2812266
55,-5.781930003145212,1000,0.989059190664578,1058.084889961515,167,46.706586826347305,0.4498246756945603,0.03877223748258388,75.12072084099157,1765817687.4427664
56,-19.90912995414509,1000,0.9888613788264451,990.7165637488379,166,43.373493975903614,0.03732846455546984,0.049890850163334416,6.196525116207994,1765817687.6018581
57,-51.82042917184118,1000,0.9886636065506799,790.2955861403573,176,48.29545454545455,-1.1024445457826462,0.0843640395178595,-194.03024005774574,1765817687.7589195
58,41.94981631254988,1000,0.9884658738293698,1540.8291166169067,174,58.04597701149425,3.2392827977516676,0.03417758849162039,563.6352068087901,1765817687.9185996
59,-42.448675271669664,1000,0.988268180654604,859.9756212265655,172,49.41860465116279,-0.7226829743143469,0.08759624231004572,-124.30147158206768,1765817688.0964673
60,1.331726899750528,1000,0.9880705270184731,1090.407147579118,167,50.898203592814376,0.6471070547671635,0.02987113744634693,108.0668781461163,1765817688.261846
1,-44.52243732698216,1000,0.9998,874.7610863530125,164,48.170731707317074,-0.6630005294969417,0.05528760901739242,-108.73208683749843,1765817702.146771
2,-21.180708136242576,1000,0.99960004,984.6955030331126,180,44.44444444444444,0.004290862090158498,0.09487674501886725,0.7723551762285297,1765817702.3057642
3,31.46149502914194,1000,0.9994001199920001,1404.975383447224,174,52.29885057471264,2.4410551314685742,0.035632267495269085,424.74359287553193,1765817702.460431
4,-50.6099895644752,1000,0.9992002399680017,827.2896855688856,176,45.45454545454545,-0.9050492672823729,0.05233599965176142,-159.28867104169763,1765817702.6168199
5,-48.852582410317694,1000,0.9990003999200081,828.7742885309368,178,46.62921348314607,-0.867591783984719,0.03501862068891952,-154.43133754928,1765817702.7742105
6,-36.00771825882062,1000,0.9988005998400241,923.4259329925582,165,52.121212121212125,-0.34564709331235277,0.07884399292797019,-57.03177039653821,1765817702.936075
7,-65.81252679198903,1000,0.9986008397200561,699.3219861127087,175,38.857142857142854,-1.636294726960477,0.0858985255320621,-286.3515772180835,1765817703.1017444
8,-11.62365197441368,1000,0.9984011195521121,1129.9142627538788,187,48.663101604278076,0.7909737158628793,0.06686297492463837,147.91208486635844,1765817703.2603264
9,-18.85597383623009,1000,0.9982014393282017,999.4074641611204,165,41.21212121212121,0.08605252310380045,0.08759624231004579,14.198666312127074,1765817703.4442046
10,-5.496536796859257,1000,0.9980017990403361,1061.2754654407088,177,50.847457627118644,0.4531980631488426,0.08436403951785952,80.21605717734514,1765817703.6026957
11,-20.102292316414815,1000,0.9978021986805281,988.8897247043619,166,52.40963855421686,0.11989494781281854,0.06006361753448628,19.902561336927878,1765817703.758766
12,-71.22582221117804,1000,0.997602638240792,680.043782055979,171,42.10526315789473,-1.7727965428109203,0.05418856002558131,-303.1482088206674,1765817703.918912
