episode,mean_reward,std_reward,min_reward,max_reward,mean_length,timestamp
100,1764517112.75397,-39.371210057312496,7.105427357601002e-15,-39.37121005731249,-39.37121005731249,1000.0
100,1764517545.9602818,-24.32414516270132,3.552713678800501e-15,-24.324145162701324,-24.324145162701324,1000.0
100,1764517773.9823096,-26.837152180012435,3.552713678800501e-15,-26.83715218001244,-26.83715218001244,1000.0
100,1764518035.5385818,18.35002604817256,3.552713678800501e-15,18.350026048172555,18.350026048172555,1000.0
200,1764518051.6586719,-19.175289426645417,3.552713678800501e-15,-19.17528942664542,-19.17528942664542,1000.0
300,1764518065.1792018,85.71683865622423,0.0,85.71683865622423,85.71683865622423,1000.0
400,1764518081.5249038,72.7094159415456,1.4210854715202004e-14,72.70941594154561,72.70941594154561,1000.0
500,1764518095.347529,39.873857303232214,7.105427357601002e-15,39.87385730323221,39.87385730323221,1000.0
600,1764518109.0874486,-15.052966096920906,1.7763568394002505e-15,-15.052966096920908,-15.052966096920908,1000.0
700,1764518126.0656774,-19.44492969628144,0.0,-19.44492969628144,-19.44492969628144,1000.0
800,1764518139.8478286,93.79391937878334,0.0,93.79391937878334,93.79391937878334,1000.0
900,1764518156.4083042,86.34799519586554,1.4210854715202004e-14,86.34799519586552,86.34799519586552,1000.0
1000,1764518170.432152,166.3739809833364,0.0,166.3739809833364,166.3739809833364,1000.0
1100,1764518187.0277476,166.3739809833364,0.0,166.3739809833364,166.3739809833364,1000.0
1200,1764518201.4375827,166.3739809833364,0.0,166.3739809833364,166.3739809833364,1000.0
1300,1764518215.241195,166.3739809833364,0.0,166.3739809833364,166.3739809833364,1000.0
1400,1764518232.935573,166.3739809833364,0.0,166.3739809833364,166.3739809833364,1000.0
1500,1764518248.463632,139.6556195401926,2.842170943040401e-14,139.65561954019256,139.65561954019256,1000.0
1600,1764518266.1228423,143.2472904963301,2.842170943040401e-14,143.24729049633007,143.24729049633007,1000.0
1700,1764518281.397484,143.2472904963301,2.842170943040401e-14,143.24729049633007,143.24729049633007,1000.0
1800,1764518299.658349,143.2472904963301,2.842170943040401e-14,143.24729049633007,143.24729049633007,1000.0
1900,1764518315.3842082,139.6556195401926,2.842170943040401e-14,139.65561954019256,139.65561954019256,1000.0
2000,1764518334.0693705,143.2472904963301,2.842170943040401e-14,143.24729049633007,143.24729049633007,1000.0
2100,1764518349.562304,0.8177680615780446,0.0,0.8177680615780446,0.8177680615780446,1000.0
2200,1764518367.9470282,143.2472904963301,2.842170943040401e-14,143.24729049633007,143.24729049633007,1000.0
2300,1764518383.2712715,139.6556195401926,2.842170943040401e-14,139.65561954019256,139.65561954019256,1000.0
2400,1764518401.712293,139.6556195401926,2.842170943040401e-14,139.65561954019256,139.65561954019256,1000.0
2500,1764518416.5111022,68.8854273779774,0.0,68.8854273779774,68.8854273779774,1000.0
2600,1764518434.5974493,164.40664954320007,0.0,164.40664954320007,164.40664954320007,1000.0
2700,1764518449.5482783,82.74482667393997,1.4210854715202004e-14,82.74482667393995,82.74482667393995,1000.0
2800,1764518467.447177,164.91730884117902,2.842170943040401e-14,164.91730884117905,164.91730884117905,1000.0
2900,1764518482.3791175,16.57480791846899,0.0,16.57480791846899,16.57480791846899,1000.0
3000,1764518500.2479906,164.91730884117902,2.842170943040401e-14,164.91730884117905,164.91730884117905,1000.0
3100,1764518515.1636043,164.91730884117902,2.842170943040401e-14,164.91730884117905,164.91730884117905,1000.0
3200,1764518530.1155212,28.143199873309506,0.0,28.143199873309506,28.143199873309506,1000.0
3300,1764518547.93333,91.10542600185377,1.4210854715202004e-14,91.10542600185379,91.10542600185379,1000.0
3400,1764518562.9781208,34.64240263477892,7.105427357601002e-15,34.64240263477891,34.64240263477891,1000.0
3500,1764518581.270573,83.85005280035168,0.0,83.85005280035168,83.85005280035168,1000.0
3600,1764518596.046519,26.174269754855914,0.0,26.174269754855914,26.174269754855914,1000.0
3700,1764518613.8135567,85.85879410862466,1.4210854715202004e-14,85.85879410862465,85.85879410862465,1000.0
3800,1764518628.546307,83.51399668573332,0.0,83.51399668573332,83.51399668573332,1000.0
3900,1764518646.4943197,85.85879410862466,1.4210854715202004e-14,85.85879410862465,85.85879410862465,1000.0
4000,1764518661.2602084,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4100,1764518679.3725967,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4200,1764518694.2798772,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4300,1764518711.1046855,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4400,1764518725.1365764,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4500,1764518739.0439656,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4600,1764518756.0365736,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4700,1764518769.9526207,89.44029174444162,1.4210854715202004e-14,89.44029174444161,89.44029174444161,1000.0
4800,1764518786.7576559,27.25468311884501,0.0,27.25468311884501,27.25468311884501,1000.0
4900,1764518800.6883214,94.70543709286349,0.0,94.70543709286349,94.70543709286349,1000.0
5000,1764518817.5623133,94.70543709286349,0.0,94.70543709286349,94.70543709286349,1000.0
5100,1764518831.6791296,94.70543709286349,0.0,94.70543709286349,94.70543709286349,1000.0
5200,1764518845.5143304,92.32410789759082,0.0,92.32410789759082,92.32410789759082,1000.0
